URL_PAGINA_ORIGEN;URL_DESTINO_INVALIDA;DESTINO_ACTIVO
https://buenosaires.gob.ar/tramites/excedente-de-fot-afecta-cpu;https://buenosaires.gob.ar/secretaria-de-desarrollo-urbano-secdu;Enlace no existe en página
https://buenosaires.gob.ar/tramites/boletin-oficial-0;https://boletinoficial.buenosaires.gob.ar/;Enlace funciona
https://buenosaires.gob.ar/tramites/inscripcion-al-registro-desarrollador-de-infraestructura-artistica-distrito-de-las-artes;https://www.buenosaires.gob.ar/cultura/distritodelasartes;Enlace no existe en página
https://buenosaires.gob.ar/tramites/inscripcion-al-registro-desarrollador-de-infraestructura-artistica-distrito-de-las-artes;https://buenosaires.gob.ar/areas/leg_tecnica/sin/normapop09.php?id=23145&qu=c&ft=0&cp=&rl=1&rf=&im=&ui=0&printi=&pelikan=1&sezion=&primera=0&mot_toda=&mot_frase=&mot_alguna=;Enlace no existe en página
https://buenosaires.gob.ar/tramites/inscripcion-al-registro-desarrollador-de-infraestructura-artistica-distrito-de-las-artes;http://www2.cedom.gob.ar/es/legislacion/normas/leyes/ley1227.html;"Enlace roto - Error: HTTPConnectionPool(host='www2.cedom.gob.ar', port=80): Max retries exceeded with url: /es/legislacion/normas/leyes/ley1227.html (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000001DCFE22C680>: Failed to resolve 'www2.cedom.gob.ar' ([Errno 11001] getaddrinfo failed)""))"
https://buenosaires.gob.ar/tramites/renovacion-de-permiso-de-venta-de-alimentos-en-la-publica;http://www.afip.gob.ar/sitio/externos/default.asp;Enlace roto - Error: ('Connection aborted.', ConnectionResetError(10054, 'Se ha forzado la interrupción de una conexión existente por el host remoto', None, 10054, None))
https://buenosaires.gob.ar/tramites/exclusion-del-registro-de-generadores-especiales-de-residuos-solidos-urbano-para-locales;https://www.afip.gob.ar/sitio/externos/default.asp;Enlace funciona
https://buenosaires.gob.ar/tramites/exclusion-del-registro-de-generadores-especiales-de-residuos-solidos-urbano-para-locales;https://boletinoficial.buenosaires.gob.ar/normativaba/norma/701213;Enlace funciona
https://buenosaires.gob.ar/tramites/inscripcion-en-el-registro-publico-de-lavaderos-lavanderias-y-transportistas-de-ropa;https://www.aysa.com.ar/;Enlace roto - Error: HTTPSConnectionPool(host='www.aysa.com.ar', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))
https://buenosaires.gob.ar/tramites/aceites-vegetales-usados-avus;https://boletinoficial.buenosaires.gob.ar/normativaba/norma/143361;Enlace funciona
https://buenosaires.gob.ar/tramites/aceites-vegetales-usados-avus;https://boletinoficial.buenosaires.gob.ar/normativaba/norma/467512;Enlace funciona
https://buenosaires.gob.ar/tramites/eventos-diversiones-o-actos-organizados-por-areas-de-gobierno-de-la-ciudad-de-buenos;https://buenosaires.gob.ar/salud/same;Enlace no existe en página
https://buenosaires.gob.ar/tramites/certificado-de-discapacidad-otorgamiento-y-renovacion-para-empleados-del-gobierno-de-la;https://www.buenosaires.gob.ar/copidis/cio/certificado-de-discapacidad;Enlace roto - Error 403
https://buenosaires.gob.ar/tramites/codigo-unico-de-identificacion-laboral-cuil;https://www.anses.gob.ar/oficinas-atencion-al-publico;Enlace roto - Error 403
https://buenosaires.gob.ar/tramites/postulaciones-para-programas-sociales;https://ash.buenosaires.gob.ar/tramites/red-primeros-meses;Ignorado (ash)
https://buenosaires.gob.ar/tramites/postulaciones-para-programas-sociales;https://ash.buenosaires.gob.ar/tramites/centros-de-desarrollo-infantil;Ignorado (ash)
https://buenosaires.gob.ar/tramites/postulaciones-para-programas-sociales;https://ash.buenosaires.gob.ar/tramites/estudiar-es-trabajar;Ignorado (ash)
https://buenosaires.gob.ar/tramites/postulaciones-para-programas-sociales;https://ash.buenosaires.gob.ar/tramites/eximicion-de-dni;Ignorado (ash)
https://buenosaires.gob.ar/tramites/postulaciones-para-programas-sociales;https://ash.buenosaires.gob.ar/desarrollohumanoyhabitat/mujer;Ignorado (ash)
https://buenosaires.gob.ar/tramites/postulaciones-para-programas-sociales;https://ash.buenosaires.gob.ar/desarrollohumanoyhabitat/mujer/hogares-y-centros-integrales-de-la-mujer;Ignorado (ash)
https://buenosaires.gob.ar/tramites/postulaciones-para-programas-sociales;https://ash.buenosaires.gob.ar/tramites/programa-ticket-social;Ignorado (ash)
https://buenosaires.gob.ar/tramites/postulaciones-para-programas-sociales;https://ash.buenosaires.gob.ar/tramites/programa-vivir-en-casa;Ignorado (ash)
https://buenosaires.gob.ar/tramites/postulaciones-para-programas-sociales;https://ash.buenosaires.gob.ar/desarrollohumanoyhabitat/ninezyadolescencia/juegotecas;Ignorado (ash)
https://buenosaires.gob.ar/tramites/postulaciones-para-programas-sociales;https://ash.buenosaires.gob.ar/tramites/actualizacion-al-registro-de-unidades-productivas-de-la-economia-popular-y-social-rupepys;Ignorado (ash)
https://buenosaires.gob.ar/tramites/postulaciones-para-programas-sociales;https://ash.buenosaires.gob.ar/tramites/programa-ciudadania-portena;Ignorado (ash)
https://buenosaires.gob.ar/tramites/inscripcion-en-el-registro-de-prestadores-turisticos-0;https://buenosaires.gob.ar/tramites/inscripcion-en-el-registro-de-guias-de-turismo;Enlace roto - Error 403
https://buenosaires.gob.ar/tramites/verificacion-policial-del-automotor;http://www2.cedom.gob.ar/es/legislacion/normas/leyes/ley3708.html;Enlace no existe en página
https://buenosaires.gob.ar/tramites/verificacion-policial-del-automotor;https://www.dnrpa.gov.ar/Digesto-Automotor/T1C9S3.php;Enlace no existe en página
https://buenosaires.gob.ar/tramites/impacto-ambiental-certificado-de-aptitud-ambiental-caa;https://buenosaires.gob.ar/tramites/impacto-ambiental-renovacion-o-modificacion-del-certificado-de-aptitud-ambiental-caa;Enlace roto - Error 403
https://buenosaires.gob.ar/tramites/solicitud-de-vista-de-expediente-de-habilitacion-con-observaciones;https://ash.buenosaires.gob.ar/agc/institucional-direccion-ejecutiva/dg-habilitaciones-y-permisos;Ignorado (ash)
https://buenosaires.gob.ar/tramites/control-fiscal-saldo-favor;https://buenosaires.gob.ar/jefaturadegabinete/tramites-y-servicios;Error al acceder página origen - 403
