Name;URLs_encontradas;URL_Invalida
VI01CUX01 Modelo de contrato;['https://vivienda.buenosaires.gob.ar/inquilinos/modelo-contrato-alquileres-vivienda'];['https://vivienda.buenosaires.gob.ar/inquilinos/modelo-contrato-alquileres-vivienda']
Cómo me inscribo IVC;['https://vivienda.buenosaires.gob.ar/estacionba'];['https://vivienda.buenosaires.gob.ar/estacionba']
TR00CUX01 Otros trámites;['https://www.buenosaires.gob.ar/tramites.'];['https://www.buenosaires.gob.ar/tramites.']
SE01CUX02 Inscripción online;['https://www.policiadelaciudad.gob.ar/?q=content/'];['https://www.policiadelaciudad.gob.ar/?q=content/']
SE03CUX01 Contacto ;['https://www.buenosaires.gob.ar/justiciayseguridad/vecinos-en-alerta'];['https://www.buenosaires.gob.ar/justiciayseguridad/vecinos-en-alerta']
SE01CUX01 Más información ;['https://www.buenosaires.gob.ar/justiciayseguridad/bomberos-de-la-ciudad'];['https://www.buenosaires.gob.ar/justiciayseguridad/bomberos-de-la-ciudad']
SUACI - Error reintentar API 2;['https://suaci-gcba.buenosaires.gob.ar/suaci/index.'];['https://suaci-gcba.buenosaires.gob.ar/suaci/index.']
SA05CUX01 Ayuda con trámites;['https://docs.google.com/forms/d/e/1FAIpQLSdm_JbAlls8oBKObJep_Qf-u8NhHXu67QEVS100fk2r5p7ogg/viewform'];['https://docs.google.com/forms/d/e/1FAIpQLSdm_JbAlls8oBKObJep_Qf-u8NhHXu67QEVS100fk2r5p7ogg/viewform']
SA05CUX01 Capacitación digital;['https://docs.google.com/forms/d/e/1FAIpQLSeza_CO42a_CXIxh1k08mHySTHm6k1_Qg32ec9twzSnUc5sXA/viewform'];['https://docs.google.com/forms/d/e/1FAIpQLSeza_CO42a_CXIxh1k08mHySTHm6k1_Qg32ec9twzSnUc5sXA/viewform']
Autos Abandonados - Error reintentar API 2;['https://suaci-gcba.buenosaires.gob.ar/suaci/index.'];['https://suaci-gcba.buenosaires.gob.ar/suaci/index.']
Denuncia Vial - Error reintentar API 2;['https://suaci-gcba.buenosaires.gob.ar/suaci/index.'];['https://suaci-gcba.buenosaires.gob.ar/suaci/index.']
Push PCR;['https://formulario-sigeci.buenosaires.gob.ar/InicioTramiteComun?idPrestacion=3565', 'https://turismo.buenosaires.gob.ar/'];['https://formulario-sigeci.buenosaires.gob.ar/InicioTramiteComun?idPrestacion=3565']
No esperar | AGIP;['https://autogestion.agip.gob.ar/cuit/infoagip.'];['https://autogestion.agip.gob.ar/cuit/infoagip.']
TR00CUX02 - Consultar estado trámites;['https://storage.googleapis.com/m-infra.appspot.com/public/gcba/aviso-legal/index.html'];['https://storage.googleapis.com/m-infra.appspot.com/public/gcba/aviso-legal/index.html']
SUA01CUX09 Dirección;['https://storage.googleapis.com/m-infra.appspot.com/public/gcba/aviso-legal/index.html'];['https://storage.googleapis.com/m-infra.appspot.com/public/gcba/aviso-legal/index.html']
